question,True/False,ActualAnswer,Language
monument to Victor Emmanuel II は Ercole Rosa によって作られましたか？,True,Ercole Rosa,JA
monument to Victor Emmanuel II は 1990 年に完成しましたか？,False,1879,JA
Victory Monument は ズラブ・ツェレテリ によって作られましたか？,True,ズラブ・ツェレテリ,JA
Victory Monument は 1906 年に完成しましたか？,False,1995,JA
Monument to Saints Cyril and Methodius は Czesław Dźwigaj によって作られましたか？,False,ヴャチェスラフ・クリコフ,JA
Monument to Saints Cyril and Methodius は 1915 年に完成しましたか？,False,1992,JA
Monument to Giuseppe Garibaldi は Andrzej Grzybowski によって作られましたか？,False,Arnoldo Zocchi,JA
Monument to Giuseppe Garibaldi は 1904 年に完成しましたか？,False,1950,JA
Horse Rider Memorial は Artashes Hovsepyan によって作られましたか？,False,Willibald Fritsch,JA
Horse Rider Memorial は 1200 年に完成しましたか？,False,1925,JA
Statue of Saint Volodymyr は Leo Mol によって作られましたか？,True,Leo Mol,JA
Statue of Saint Volodymyr は 1988 年に完成しましたか？,True,1988,JA
Ladislao di Durazzo's tomb は Andrea Guardi によって作られましたか？,True,Andrea Guardi,JA
Ladislao di Durazzo's tomb は 1414 年に完成しましたか？,True,1414,JA
Monument of Manzoni は Karl Joseph Leuch によって作られましたか？,False,フランチェスコ・コンファロニエーリ,JA
Monument of Manzoni は 1891 年に完成しましたか？,True,1891,JA
Gedenknaald Baarn は Abraham van der Hart によって作られましたか？,True,Abraham van der Hart,JA
Gedenknaald Baarn は 1939 年に完成しましたか？,False,1815,JA
Monumento ai caduti del VIII Agosto 1848 は イヴァン・メシュトロヴィチ によって作られましたか？,False,Pasquale Rizzoli,JA
Monumento ai caduti del VIII Agosto 1848 は 1946 年に完成しましたか？,False,1903,JA
Monument to the Italian Resistance は アント・ファーム によって作られましたか？,False,レナート・マリーノ・マッツァクラーティ,JA
Monument to the Italian Resistance は 1858 年に完成しましたか？,False,1954,JA
Adam Mickiewicz Monument in Przemyśl は Juhan Raudsepp によって作られましたか？,False,Tomasz Dykas,JA
Adam Mickiewicz Monument in Przemyśl は 1898 年に完成しましたか？,True,1898,JA
Monument to Peter I in Tula は Robert Bach によって作られましたか？,True,Robert Bach,JA
Monument to Peter I in Tula は 1999 年に完成しましたか？,False,1912,JA
Artyomka monument は David Begalov によって作られましたか？,True,David Begalov,JA
Artyomka monument は 1816 年に完成しましたか？,False,2010,JA
Rimsky-Korsakov Monument は モデスト・シェピレフスキー によって作られましたか？,True,モデスト・シェピレフスキー,JA
Rimsky-Korsakov Monument は 1825 年に完成しましたか？,False,1952,JA
Monument to Mykola Shchors in Kyiv は フランツ・マッチ によって作られましたか？,False,ヴァシル・ボロダイ,JA
Monument to Mykola Shchors in Kyiv は 1954 年に完成しましたか？,True,1954,JA
Monument to Mirza Alakbar Sabir は ジャラル・ガルヤグドゥ によって作られましたか？,True,ジャラル・ガルヤグドゥ,JA
Monument to Mirza Alakbar Sabir は 1958 年に完成しましたか？,True,1958,JA
Monument to Sergei Korolev and Yuri Gagarin は Oleg Konstantinovich Komov によって作られましたか？,True,Oleg Konstantinovich Komov,JA
Monument to Sergei Korolev and Yuri Gagarin は 1949 年に完成しましたか？,False,1975,JA
"Victory monument, Veliky Novgorod は Gueorgui Neroda によって作られましたか？",True,Gueorgui Neroda,JA
"Victory monument, Veliky Novgorod は 1974 年に完成しましたか？",True,1974,JA
Lenin's head in Ulan-Ude は フリッツ・シャーパー によって作られましたか？,False,Gueorgui Neroda,JA
Lenin's head in Ulan-Ude は 1971 年に完成しましたか？,True,1971,JA
Chekhov Monument は Iulian Rukavishnikov によって作られましたか？,True,Iulian Rukavishnikov,JA
Chekhov Monument は 1960 年に完成しましたか？,True,1960,JA
Monument to Oka Gorodovikov は Nikita Sandzhiyev によって作られましたか？,True,Nikita Sandzhiyev,JA
Monument to Oka Gorodovikov は 1976 年に完成しましたか？,True,1976,JA
Statue of Volodymyr Vernadsky は Jiří Sozanský によって作られましたか？,False,Alexander Pavlovich Skoblikov,JA
Statue of Volodymyr Vernadsky は 1999 年に完成しましたか？,False,1981,JA
"Statue of Valeriy Lobanovskyi at Mykhaila Hrushevskoho Street, Kyiv は Otakar Švec によって作られましたか？",False,Vladimir Aleksandrovitsj Filatov,JA
"Statue of Valeriy Lobanovskyi at Mykhaila Hrushevskoho Street, Kyiv は 2003 年に完成しましたか？",True,2003,JA
Isaac Babel monument は アントニオ・レオン・オルテガ によって作られましたか？,False,Georgy Frangulyan,JA
Isaac Babel monument は 2011 年に完成しましたか？,True,2011,JA
monument to Peter the Great in Petrozavodsk は イワン・シュレーダー によって作られましたか？,True,イワン・シュレーダー,JA
monument to Peter the Great in Petrozavodsk は 1873 年に完成しましたか？,True,1873,JA
Nelson Monument は リチャード・ウェストマコット によって作られましたか？,True,リチャード・ウェストマコット,JA
Nelson Monument は 1943 年に完成しましたか？,False,1813,JA
Monument to Latvian Riflemen は Valdis Albergas によって作られましたか？,True,Valdis Albergas,JA
Monument to Latvian Riflemen は 1878 年に完成しましたか？,False,1971,JA
Obelisk Severa は Manfredo Manfredi によって作られましたか？,False,Iov Kornilovitsj Altoechov,JA
Obelisk Severa は 1930 年に完成しましたか？,True,1930,JA
Cross of Sorrow は Leo Lankinen によって作られましたか？,True,Leo Lankinen,JA
Cross of Sorrow は 2000 年に完成しましたか？,True,2000,JA
Monumento nazionale ai caduti per la bonifica dei campi minati は Angelo Biancini によって作られましたか？,True,Angelo Biancini,JA
Monumento nazionale ai caduti per la bonifica dei campi minati は 1984 年に完成しましたか？,True,1984,JA
The Twelve Chairs monument in Odesa は Walter Runeberg によって作られましたか？,False,Mikhail Reva,JA
The Twelve Chairs monument in Odesa は 1864 年に完成しましたか？,False,1999,JA
Canapone monument は Luigi Magi によって作られましたか？,True,Luigi Magi,JA
Canapone monument は 1337 年に完成しましたか？,False,1846,JA
Monument to Artyom in Donetsk は Vladimir Kostin によって作られましたか？,True,Vladimir Kostin,JA
Monument to Artyom in Donetsk は 1992 年に完成しましたか？,False,1967,JA
プーシキン像 は アレクサンドル・オペクーシン によって作られましたか？,True,アレクサンドル・オペクーシン,JA
プーシキン像 は 1903 年に完成しましたか？,False,1880,JA
Brion tomb は Howard Finster によって作られましたか？,False,カルロ・スカルパ,JA
Brion tomb は 1978 年に完成しましたか？,True,1978,JA
Tondi Boys は Arsham Shahinyan によって作られましたか？,False,Amandus Adamson,JA
Tondi Boys は 1644 年に完成しましたか？,False,2009,JA
Independence Monument は アントニ・タピエス によって作られましたか？,False,クリスタク・ラマ,JA
Independence Monument は 1972 年に完成しましたか？,True,1972,JA
Hirschtor は Hripsime Simonyan によって作られましたか？,False,クリスチャン・ダニエル・ラウホ,JA
Hirschtor は 1826 年に完成しましたか？,True,1826,JA
Den tapre Landsoldat は ヘルマン・ヴィルヘルム・ビッセン によって作られましたか？,True,ヘルマン・ヴィルヘルム・ビッセン,JA
Den tapre Landsoldat は 1858 年に完成しましたか？,True,1858,JA
Heroes' Acre は 万寿台海外開発会社 によって作られましたか？,True,万寿台海外開発会社,JA
Heroes' Acre は 2017 年に完成しましたか？,False,2002,JA
三首長の像 は 万寿台海外開発会社 によって作られましたか？,True,万寿台海外開発会社,JA
三首長の像 は 2005 年に完成しましたか？,True,2005,JA
Monument to Duque de Caxias は John Rhind によって作られましたか？,False,Victor Brecheret,JA
Monument to Duque de Caxias は 1960 年に完成しましたか？,True,1960,JA
タラス・シェフチェンコ像 (ブエノスアイレス) は ルネ・ド・サン＝マルソー によって作られましたか？,False,Leo Mol,JA
タラス・シェフチェンコ像 (ブエノスアイレス) は 1971 年に完成しましたか？,True,1971,JA
Monument to Ramos de Azevedo は Ton Blommerde によって作られましたか？,False,Galileo Emendabili,JA
Monument to Ramos de Azevedo は 1807 年に完成しましたか？,False,1934,JA
Pushkin Bust は オマル・エリダロフ によって作られましたか？,False,Robert Bach,JA
Pushkin Bust は 1899 年に完成しましたか？,True,1899,JA
Monument of the Great October Revolution は ヴァシル・ボロダイ によって作られましたか？,True,ヴァシル・ボロダイ,JA
Monument of the Great October Revolution は 1149 年に完成しましたか？,False,1977,JA
Monument to Petro Zaporozhets in Bila Tserkva は Yervand Kochar によって作られましたか？,False,イヴァン・カヴァレリゼ,JA
Monument to Petro Zaporozhets in Bila Tserkva は 1971 年に完成しましたか？,True,1971,JA
Statue of Taras Shevchenko in Poltava は イヴァン・カヴァレリゼ によって作られましたか？,True,イヴァン・カヴァレリゼ,JA
Statue of Taras Shevchenko in Poltava は 1988 年に完成しましたか？,False,1926,JA
Fyodor Kon monument in Smolensk は Georgiy Alekseev によって作られましたか？,False,Oleg Konstantinovich Komov,JA
Fyodor Kon monument in Smolensk は 1991 年に完成しましたか？,True,1991,JA
Chapayev monument は マトヴァイ・マニゼル によって作られましたか？,True,マトヴァイ・マニゼル,JA
Chapayev monument は 1948 年に完成しましたか？,False,1933,JA
タラス・シェフチェンコ像 (ハルキウ) は Vasily Demut-Malinovsky によって作られましたか？,False,マトヴァイ・マニゼル,JA
タラス・シェフチェンコ像 (ハルキウ) は 1902 年に完成しましたか？,False,1935,JA
"Statue of Lenin, House of Government, Minsk は マトヴァイ・マニゼル によって作られましたか？",True,マトヴァイ・マニゼル,JA
"Statue of Lenin, House of Government, Minsk は 1933 年に完成しましたか？",True,1933,JA
Bulat Okudzhava Monument は Urs Eggenschwyler によって作られましたか？,False,Georgy Frangulyan,JA
Bulat Okudzhava Monument は 2002 年に完成しましたか？,True,2002,JA
Memorial Mound は Anders Bundgaard によって作られましたか？,True,Anders Bundgaard,JA
Memorial Mound は 1925 年に完成しましたか？,True,1925,JA
レイク相模カントリークラブ クラブハウス は ブライアン・クラーク によって作られましたか？,True,ブライアン・クラーク,JA
レイク相模カントリークラブ クラブハウス は 1984 年に完成しましたか？,False,1989,JA
Jan Matejko Monument in Nowy Wiśnicz は Czesław Dźwigaj によって作られましたか？,True,Czesław Dźwigaj,JA
Jan Matejko Monument in Nowy Wiśnicz は 1993 年に完成しましたか？,True,1993,JA
Major General John A. Logan は Franklin Simmons によって作られましたか？,True,Franklin Simmons,JA
Major General John A. Logan は 1901 年に完成しましたか？,True,1901,JA
ウェリントン公馬上像 (オールダーショット) は Joseph Wackerle によって作られましたか？,False,マシュー・コーツ・ワイアット,JA
ウェリントン公馬上像 (オールダーショット) は 1846 年に完成しましたか？,True,1846,JA
Bolesław III Wrymouth Monument in Płock は Zbigniew Mikielewicz によって作られましたか？,True,Zbigniew Mikielewicz,JA
Bolesław III Wrymouth Monument in Płock は 1915 年に完成しましたか？,False,2012,JA
"Monument to Stefan Rowecki ""Grot"" は Zbigniew Mikielewicz によって作られましたか？",True,Zbigniew Mikielewicz,JA
"Monument to Stefan Rowecki ""Grot"" は 1881 年に完成しましたか？",False,2005,JA
Dante Monument は Angelo Biancini によって作られましたか？,True,Angelo Biancini,JA
Dante Monument は 1968 年に完成しましたか？,True,1968,JA
Monument to the Defenders of Katowice は Bogumił Burzyński によって作られましたか？,True,Bogumił Burzyński,JA
Monument to the Defenders of Katowice は 2000 年に完成しましたか？,True,2000,JA
Sepulchral monument for Ewald Christian von Kleist は ゴットフリート・シャードウ によって作られましたか？,True,ゴットフリート・シャードウ,JA
Sepulchral monument for Ewald Christian von Kleist は 1780 年に完成しましたか？,True,1780,JA
Kranner's fountain は Josef Max によって作られましたか？,True,Josef Max,JA
Kranner's fountain は 1850 年に完成しましたか？,True,1850,JA
Rizal Monument は リチャード・キスリング によって作られましたか？,True,リチャード・キスリング,JA
Rizal Monument は 1961 年に完成しましたか？,False,1908,JA
グレイ・モニュメント は ベルンハルト・ルジンブール によって作られましたか？,False,エドワード・ホッジス・ベイリー,JA
グレイ・モニュメント は 1504 年に完成しましたか？,False,1838,JA
Peel Memorial は Harro Magnussen によって作られましたか？,False,エドワード・ホッジス・ベイリー,JA
Peel Memorial は 1851 年に完成しましたか？,True,1851,JA
モントーバンの偉大な戦士 は Agustí Querol Subirats によって作られましたか？,False,アントワーヌ・ブールデル,JA
モントーバンの偉大な戦士 は 1898 年に完成しましたか？,True,1898,JA
Statue of Saint Wenceslas は Giuseppe Sartorio によって作られましたか？,False,Johann-Georg Bendl,JA
Statue of Saint Wenceslas は 1618 年に完成しましたか？,True,1618,JA
Champagne school house は Vladimir Aleksandrovitsj Filatov によって作られましたか？,False,ベルンハルト・ルジンブール,JA
Champagne school house は 1962 年に完成しましたか？,True,1962,JA
Statue of Tadeusz Kościuszko は Ernst Herter によって作られましたか？,False,Antoni Popiel,JA
Statue of Tadeusz Kościuszko は 1910 年に完成しましたか？,True,1910,JA
Admiral David G. Farragut は ヴィニー・リーム によって作られましたか？,True,ヴィニー・リーム,JA
Admiral David G. Farragut は 1881 年に完成しましたか？,True,1881,JA
Monument to Christopher Columbus は シャルル・コルディエ によって作られましたか？,True,シャルル・コルディエ,JA
Monument to Christopher Columbus は 1877 年に完成しましたか？,True,1877,JA
Emancipation Memorial は Thomas Ball によって作られましたか？,True,Thomas Ball,JA
Emancipation Memorial は 1876 年に完成しましたか？,True,1876,JA
Abraham Lincoln: The Man は オーガスタス・セント＝ゴーデンス によって作られましたか？,True,オーガスタス・セント＝ゴーデンス,JA
Abraham Lincoln: The Man は 1887 年に完成しましたか？,True,1887,JA
Monument to the soldiers of the 1st Polish Army は Xawery Dunikowski によって作られましたか？,True,Xawery Dunikowski,JA
Monument to the soldiers of the 1st Polish Army は 1963 年に完成しましたか？,True,1963,JA
Memorial for Heinrich von Kleist は Mario Rutelli によって作られましたか？,False,Gottlieb Elster,JA
Memorial for Heinrich von Kleist は 1910 年に完成しましたか？,True,1910,JA
Monument to Emilio Castelar は Eduardo Barrón によって作られましたか？,True,Eduardo Barrón,JA
Monument to Emilio Castelar は 1859 年に完成しましたか？,False,1905,JA
Standing girl は Fritz Röll によって作られましたか？,True,Fritz Röll,JA
Standing girl は 1913 年に完成しましたか？,True,1913,JA
Atatürk Monument は Pietro Canonica によって作られましたか？,True,Pietro Canonica,JA
Atatürk Monument は 1932 年に完成しましたか？,True,1932,JA
Aleksander Fredro Monument in Wrocław は レオナルド・マルコーニ によって作られましたか？,True,レオナルド・マルコーニ,JA
Aleksander Fredro Monument in Wrocław は 1684 年に完成しましたか？,False,1897,JA
Semi-detached house (1928) は マルク・アントコリスキー によって作られましたか？,False,Etienne Perincioli,JA
Semi-detached house (1928) は 2014 年に完成しましたか？,False,1928,JA
Alexander II memorial は Walter Runeberg によって作られましたか？,True,Walter Runeberg,JA
Alexander II memorial は 1998 年に完成しましたか？,False,1894,JA
Renascence of Egypt は Carel Kneulman によって作られましたか？,False,Mahmoud Mokhtar,JA
Renascence of Egypt は 1988 年に完成しましたか？,False,1928,JA
Statue of Honor は ハインリヒ・クリッペル によって作られましたか？,True,ハインリヒ・クリッペル,JA
Statue of Honor は 1932 年に完成しましたか？,True,1932,JA
Hirtenbrunnen は Ghukas Chubaryan によって作られましたか？,False,Karl Gundelach,JA
Hirtenbrunnen は 1410 年に完成しましたか？,False,1914,JA
Columbus Fountain は Gustav Adolf Kietz によって作られましたか？,False,ロラド・タフト,JA
Columbus Fountain は 1912 年に完成しましたか？,True,1912,JA
Newkirk Viaduct Monument は トーマス・ウォルター によって作られましたか？,True,トーマス・ウォルター,JA
Newkirk Viaduct Monument は 1201 年に完成しましたか？,False,1838,JA
Lenin monument in Lviv は セルゲイ・メルクーロフ によって作られましたか？,True,セルゲイ・メルクーロフ,JA
Lenin monument in Lviv は 1952 年に完成しましたか？,True,1952,JA
"Monument to the Chasseurs à Cheval of Alcántara, Valladolid は マリアーノ・ベンリウレ によって作られましたか？",True,マリアーノ・ベンリウレ,JA
"Monument to the Chasseurs à Cheval of Alcántara, Valladolid は 1926 年に完成しましたか？",False,1931,JA
Gatehouse with round arch and reliefs at Gotzkowskybrücke は Domenico De Angelis によって作られましたか？,False,Walter Schmarje,JA
Gatehouse with round arch and reliefs at Gotzkowskybrücke は 1871 年に完成しましたか？,False,1911,JA
Der Mensch fliege は アレクサンダー・カランドレリ によって作られましたか？,False,Baldur Schönfelder,JA
Der Mensch fliege は 1968 年に完成しましたか？,True,1968,JA
Freedom Monument は Khachatur Iskandaryan によって作られましたか？,False,Jawad Saleem,JA
Freedom Monument は 1815 年に完成しましたか？,False,1961,JA
Gate of Philip IV は ヘラルド・ポルト によって作られましたか？,False,Melchor de Bueras,JA
Gate of Philip IV は 1500 年に完成しましたか？,False,1690,JA
Lieutenant General George Washington は Amandus Adamson によって作られましたか？,False,クラーク・ミルズ,JA
Lieutenant General George Washington は 1860 年に完成しましたか？,True,1860,JA
Triunfo de San Rafael de la Puerta del Puente (Córdoba) は Moritz Wilhelm Gottgetreu によって作られましたか？,False,Miguel Verdiguier,JA
Triunfo de San Rafael de la Puerta del Puente (Córdoba) は 1978 年に完成しましたか？,False,1765,JA
Ivar Huitfeldt Column は フレデリック・マレス によって作られましたか？,False,Vilhelm Dahlerup,JA
Ivar Huitfeldt Column は 1886 年に完成しましたか？,True,1886,JA
Monument to Torgils Knutsson は Ara Alekyan によって作られましたか？,False,ヴィッレ・ヴァルグレン,JA
Monument to Torgils Knutsson は 1914 年に完成しましたか？,False,1908,JA
Pioneer Woman は Spartak Knteghtsyan によって作られましたか？,False,レオ・フリードランダー,JA
Pioneer Woman は 1936 年に完成しましたか？,True,1936,JA
Goya memorial は フレデリック・マレス によって作られましたか？,True,フレデリック・マレス,JA
Goya memorial は 1967 年に完成しましたか？,False,1960,JA
General Osorio statue は ロドルフォ・ベルナルデリ によって作られましたか？,True,ロドルフォ・ベルナルデリ,JA
General Osorio statue は 1884 年に完成しましたか？,True,1884,JA
General Maister Monument は Jakov Brdar によって作られましたか？,True,Jakov Brdar,JA
General Maister Monument は 1500 年に完成しましたか？,False,1999,JA
ベル・メモリアル は Walter Seymour Allward によって作られましたか？,True,Walter Seymour Allward,JA
ベル・メモリアル は 1917 年に完成しましたか？,True,1917,JA
Wilfrid Laurier Memorial は Émile Brunet によって作られましたか？,True,Émile Brunet,JA
Wilfrid Laurier Memorial は 1953 年に完成しましたか？,True,1953,JA
Monument to General Maximo Gomez (Havana) は Aldo Gamba によって作られましたか？,True,Aldo Gamba,JA
Monument to General Maximo Gomez (Havana) は 1933 年に完成しましたか？,False,1935,JA
Monument to Artigas は アンジェロ・ザネッリ によって作られましたか？,True,アンジェロ・ザネッリ,JA
Monument to Artigas は 1337 年に完成しましたか？,False,1923,JA
Monument to Ivan Fedorov は Gustav Adolf Kietz によって作られましたか？,False,Valentyn Borysenko,JA
Monument to Ivan Fedorov は 1977 年に完成しましたか？,True,1977,JA
タラス・シェフチェンコ像 (プラハ) は João Maximiano Mafra によって作られましたか？,False,Valentin Znoba,JA
タラス・シェフチェンコ像 (プラハ) は 2009 年に完成しましたか？,True,2009,JA
Monument to Mykola Lysenko は インドネシア空軍 によって作られましたか？,False,Oleksandr Kovalov,JA
Monument to Mykola Lysenko は -024 年に完成しましたか？,False,1965,JA
Statue of Fuzuli (Baku) は Wojciech Zabłocki によって作られましたか？,False,Tokay Mammadov,JA
Statue of Fuzuli (Baku) は 1588 年に完成しましたか？,False,1962,JA
Monument to Sergei Rachmaninoff (Veliky Novgorod) は Alexander Rukavishnikov によって作られましたか？,True,Alexander Rukavishnikov,JA
Monument to Sergei Rachmaninoff (Veliky Novgorod) は 2009 年に完成しましたか？,True,2009,JA
Tatishchev Monument は Alexander Rukavishnikov によって作られましたか？,True,Alexander Rukavishnikov,JA
Tatishchev Monument は 1998 年に完成しましたか？,True,1998,JA
Monument to victims of political repressions in Donetsk は オーギュスト・モンフェラン によって作られましたか？,False,Aleksandr Porozhnuk,JA
Monument to victims of political repressions in Donetsk は 2005 年に完成しましたか？,True,2005,JA
Runic Singer Monument in Sortavala は Alpo Sailo によって作られましたか？,True,Alpo Sailo,JA
Runic Singer Monument in Sortavala は 1908 年に完成しましたか？,False,1935,JA
Panikovsky statue in Kyiv は Vitali Sivko によって作られましたか？,True,Vitali Sivko,JA
Panikovsky statue in Kyiv は 1998 年に完成しましたか？,True,1998,JA
Alexander Dargomyzhsky grave は Andrey Khaustov によって作られましたか？,True,Andrey Khaustov,JA
Alexander Dargomyzhsky grave は 1957 年に完成しましたか？,False,1961,JA
Monument to Chocolate は Ilya Shanin によって作られましたか？,True,Ilya Shanin,JA
Monument to Chocolate は 2009 年に完成しましたか？,True,2009,JA
Memorial to the Victims of Faschism は Valentin Grigorevitsj Sjtolko によって作られましたか？,True,Valentin Grigorevitsj Sjtolko,JA
Memorial to the Victims of Faschism は 1923 年に完成しましたか？,False,1955,JA
Monument to the soldiers of the 77th Infantry Division は オマル・エリダロフ によって作られましたか？,True,オマル・エリダロフ,JA
Monument to the soldiers of the 77th Infantry Division は 1974 年に完成しましたか？,True,1974,JA
Madonna of the Trail は Maxim Petrovich Dmitriev によって作られましたか？,False,August Leimbach,JA
Madonna of the Trail は 1962 年に完成しましたか？,False,1928,JA
Confederate Monument は Charles E. Cassell によって作られましたか？,True,Charles E. Cassell,JA
Confederate Monument は 1876 年に完成しましたか？,True,1876,JA
George Gordon Meade Memorial は Charles Grafly によって作られましたか？,True,Charles Grafly,JA
George Gordon Meade Memorial は 1874 年に完成しましたか？,False,1922,JA
Armistead Monument は Edward Berge によって作られましたか？,True,Edward Berge,JA
Armistead Monument は 2018 年に完成しましたか？,False,1914,JA
Brigadier General Albert Pike は Gaetano Trentanove によって作られましたか？,True,Gaetano Trentanove,JA
Brigadier General Albert Pike は 1901 年に完成しましたか？,True,1901,JA
National War Correspondents Memorial は George Alfred Townsend によって作られましたか？,True,George Alfred Townsend,JA
National War Correspondents Memorial は 1896 年に完成しましたか？,True,1896,JA
Triunfo de San Rafael del Puente Romano は Joseph Simon Volmar によって作られましたか？,False,Bernabé Gómez del Río,JA
Triunfo de San Rafael del Puente Romano は 1651 年に完成しましたか？,True,1651,JA
El Gato del Rio は Hernando Tejada によって作られましたか？,True,Hernando Tejada,JA
El Gato del Rio は 1937 年に完成しましたか？,False,1996,JA
Stephenson Grand Army of the Republic Memorial は Krzysztof Nitsch によって作られましたか？,False,J. Massey Rhind,JA
Stephenson Grand Army of the Republic Memorial は 1909 年に完成しましたか？,True,1909,JA
A Maria Eva Duarte de Perón by Ricardo Gianetti は Ernst Herter によって作られましたか？,False,Ricardo Gianetti,JA
A Maria Eva Duarte de Perón by Ricardo Gianetti は 1904 年に完成しましたか？,False,1997,JA
The Monument Cemetery of the Lost Cemeteries は Jawad Saleem によって作られましたか？,False,Jacek Krenz,JA
The Monument Cemetery of the Lost Cemeteries は 1200 年に完成しましたか？,False,2002,JA
Nuns of the Battlefield は Sándor Mikus によって作られましたか？,False,Jerome Connor,JA
Nuns of the Battlefield は 1924 年に完成しましたか？,True,1924,JA
Thomas Paine Monument は John Frazee によって作られましたか？,True,John Frazee,JA
Thomas Paine Monument は 1839 年に完成しましたか？,True,1839,JA
Monument to the Heroes of Warsaw は レフ・ケルベリ によって作られましたか？,False,Marian Konieczny,JA
Monument to the Heroes of Warsaw は 1964 年に完成しましたか？,True,1964,JA
Monument to the Revolutionary Act in Rzeszów は Marian Konieczny によって作られましたか？,True,Marian Konieczny,JA
Monument to the Revolutionary Act in Rzeszów は 1908 年に完成しましたか？,False,1974,JA
"Adam Mickiewicz Monument, Navahrudak は Valerian Yanushkevich によって作られましたか？",True,Valerian Yanushkevich,JA
"Adam Mickiewicz Monument, Navahrudak は 1992 年に完成しましたか？",True,1992,JA
Soldiers and Sailors Monument は Martin Milmore によって作られましたか？,True,Martin Milmore,JA
Soldiers and Sailors Monument は 1877 年に完成しましたか？,True,1877,JA
Kuva-yi Milliye and the Republic Monument は Krystyna Fałdyga-Solska によって作られましたか？,False,Tankut Öktem,JA
Kuva-yi Milliye and the Republic Monument は 1871 年に完成しましたか？,False,2004,JA
Monument a Antonio López y López は Josep Oriol Mestres i Esplugas によって作られましたか？,True,Josep Oriol Mestres i Esplugas,JA
Monument a Antonio López y López は 1940 年に完成しましたか？,False,1884,JA
Monumento a la Marina Universal は Manuel Gómez Román によって作られましたか？,True,Manuel Gómez Román,JA
Monumento a la Marina Universal は 1924 年に完成しましたか？,True,1924,JA
Executors and executed は ハビエル・コルベロ によって作られましたか？,True,ハビエル・コルベロ,JA
Executors and executed は 1973 年に完成しましたか？,True,1973,JA
Katyń monument at Podwale Street in Warsaw は Hans Kies によって作られましたか？,False,Andrzej Renes,JA
Katyń monument at Podwale Street in Warsaw は 1998 年に完成しましたか？,True,1998,JA
Bust of George Washington in Warsaw は グレナ・グッドエーカー によって作られましたか？,False,Bronisław Koniuszy,JA
Bust of George Washington in Warsaw は 2019 年に完成しましたか？,False,1989,JA
Hedwig of Andechs monument in Katowice は Bruno Tschötschel によって作られましたか？,True,Bruno Tschötschel,JA
Hedwig of Andechs monument in Katowice は 1912 年に完成しましたか？,True,1912,JA
Józef Piłsudski Monument at the Belweder in Warsaw は スタニスワフ・カジミェシュ・オストロウスキー によって作られましたか？,True,スタニスワフ・カジミェシュ・オストロウスキー,JA
Józef Piłsudski Monument at the Belweder in Warsaw は 1921 年に完成しましたか？,False,1998,JA
Bust of Żeromski in Warsaw は Robert Henze によって作られましたか？,False,Stanisław Sikora,JA
Bust of Żeromski in Warsaw は 1750 年に完成しましたか？,False,1987,JA
Fryderyk Chopin monument in Gliwice は Zygmunt Acedański によって作られましたか？,True,Zygmunt Acedański,JA
Fryderyk Chopin monument in Gliwice は 1949 年に完成しましたか？,True,1949,JA
"Statue of Cyril and Methodeus, Třebíč は Lev Gumilevsky によって作られましたか？",False,Bernard Otto Seeling,JA
"Statue of Cyril and Methodeus, Třebíč は 2010 年に完成しましたか？",False,1885,JA
Monument to Bernardo Ferrándiz は Melchor de Bueras によって作られましたか？,False,Agapit Vallmitjana i Barbany,JA
Monument to Bernardo Ferrándiz は 1967 年に完成しましたか？,False,1913,JA
"Monument to Rubén Darío, Málaga は Salvino Salvini によって作られましたか？",False,José Planes,JA
"Monument to Rubén Darío, Málaga は 1813 年に完成しましたか？",False,1963,JA
Millennium Cross in Gdańsk は Charles Leonard Hartwell によって作られましたか？,False,Jacek Łuczak,JA
Millennium Cross in Gdańsk は 2000 年に完成しましたか？,True,2000,JA
Statue of Fryderyk Chopin in Duszniki-Zdrój は Jan Kucz によって作られましたか？,True,Jan Kucz,JA
Statue of Fryderyk Chopin in Duszniki-Zdrój は 1973 年に完成しましたか？,False,1976,JA
Pomnik Barykada Września は Julian Pałka によって作られましたか？,True,Julian Pałka,JA
Pomnik Barykada Września は 1979 年に完成しましたか？,True,1979,JA
Monument to the victims of the disaster at the Nelson mine は カレル・ポコルニー によって作られましたか？,True,カレル・ポコルニー,JA
Monument to the victims of the disaster at the Nelson mine は 1983 年に完成しましたか？,True,1983,JA
The Anthropoid Operation Memorial は ヤン・ヴォルカース によって作られましたか？,False,David Moješčík,JA
The Anthropoid Operation Memorial は 2005 年に完成しましたか？,False,2008,JA
Frederic Chopin monument in Słupsk は Mieczysław Welter によって作られましたか？,True,Mieczysław Welter,JA
Frederic Chopin monument in Słupsk は 1875 年に完成しましたか？,False,1976,JA
Památník osvobození Rudou armádou は Jaroslav Kovář mladší によって作られましたか？,True,Jaroslav Kovář mladší,JA
Památník osvobození Rudou armádou は 1952 年に完成しましたか？,False,1945,JA
Monument to political prisoners in Valdice は カレル・ポコルニー によって作られましたか？,False,Jiří Sozanský,JA
Monument to political prisoners in Valdice は 2018 年に完成しましたか？,False,2009,JA
"Statue of Tomáš Garrigue Masaryk, Prague は David Černý によって作られましたか？",False,Josef Vajce,JA
"Statue of Tomáš Garrigue Masaryk, Prague は 1500 年に完成しましたか？",False,1931,JA
Happy sweeper statue in Mukachevo は Ivan Lazarov によって作られましたか？,False,Ivan Vasilevitsj Brovdi,JA
