language,question,correct_answer
DE,In welchem Jahr wurde Illustrated Biography of Prince Shotoku fertiggestellt?,1069
TR,Prens Shotoku'nun Resimli Biyografisi'in yaratıcısı kim?,Hata no Chitei
TR,Prens Shotoku'nun Resimli Biyografisi hangi yılda tamamlandı?,1069
JA,延久本聖徳太子絵伝 の創作者は誰ですか？,秦致貞
JA,延久本聖徳太子絵伝 は何年に完成しましたか？,1069
EN,Who is the creator of Procession of Insects?,Nishiyama Kan'ei
EN,In which year was Procession of Insects completed?,1865
FR,Qui est le créateur de Procession of Insects?,Nishiyama Kan'ei
FR,En quelle année Procession of Insects a-t-il été achevé?,1865
DE,Wer ist der Schöpfer von Procession of Insects?,Nishiyama Kan'ei
DE,In welchem Jahr wurde Procession of Insects fertiggestellt?,1865
TR,Procession of Insects'in yaratıcısı kim?,Nishiyama Kan'ei
TR,Procession of Insects hangi yılda tamamlandı?,1865
JA,Procession of Insects の創作者は誰ですか？,西山完瑛
JA,Procession of Insects は何年に完成しましたか？,1865
EN,Who is the creator of Boy with Cow at the River's Edge?,Hashimoto Gahō
EN,In which year was Boy with Cow at the River's Edge completed?,1890
FR,Qui est le créateur de Boy with Cow at the River's Edge?,Hashimoto Gahō
FR,En quelle année Boy with Cow at the River's Edge a-t-il été achevé?,1890
DE,Wer ist der Schöpfer von Boy with Cow at the River's Edge?,Hashimoto Gahō
DE,In welchem Jahr wurde Boy with Cow at the River's Edge fertiggestellt?,1890
TR,Boy with Cow at the River's Edge'in yaratıcısı kim?,Hashimoto Gahō
TR,Boy with Cow at the River's Edge hangi yılda tamamlandı?,1890
JA,Boy with Cow at the River's Edge の創作者は誰ですか？,橋本雅邦
JA,Boy with Cow at the River's Edge は何年に完成しましたか？,1890
EN,Who is the creator of Lake and Mountains?,Hashimoto Gahō
EN,In which year was Lake and Mountains completed?,1887
FR,Qui est le créateur de Lake and Mountains?,Hashimoto Gahō
FR,En quelle année Lake and Mountains a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Lake and Mountains?,Hashimoto Gahō
DE,In welchem Jahr wurde Lake and Mountains fertiggestellt?,1887
TR,Lake and Mountains'in yaratıcısı kim?,Hashimoto Gahō
TR,Lake and Mountains hangi yılda tamamlandı?,1887
JA,Lake and Mountains の創作者は誰ですか？,橋本雅邦
JA,Lake and Mountains は何年に完成しましたか？,1887
EN,Who is the creator of Snow Landscape?,Hashimoto Gahō
EN,In which year was Snow Landscape completed?,1887
FR,Qui est le créateur de Snow Landscape?,Hashimoto Gahō
FR,En quelle année Snow Landscape a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Snow Landscape?,Hashimoto Gahō
DE,In welchem Jahr wurde Snow Landscape fertiggestellt?,1887
TR,Snow Landscape'in yaratıcısı kim?,Hashimoto Gahō
TR,Snow Landscape hangi yılda tamamlandı?,1887
JA,Snow Landscape の創作者は誰ですか？,橋本雅邦
JA,Snow Landscape は何年に完成しましたか？,1887
EN,Who is the creator of Album of Fifty-four Sketches?,Watanabe Kazan
EN,In which year was Album of Fifty-four Sketches completed?,1849
FR,Qui est le créateur de Album of Fifty-four Sketches?,Watanabe Kazan
FR,En quelle année Album of Fifty-four Sketches a-t-il été achevé?,1849
DE,Wer ist der Schöpfer von Album of Fifty-four Sketches?,Watanabe Kazan
DE,In welchem Jahr wurde Album of Fifty-four Sketches fertiggestellt?,1849
TR,Album of Fifty-four Sketches'in yaratıcısı kim?,Watanabe Kazan
TR,Album of Fifty-four Sketches hangi yılda tamamlandı?,1849
JA,Album of Fifty-four Sketches の創作者は誰ですか？,渡辺崋山
JA,Album of Fifty-four Sketches は何年に完成しましたか？,1849
EN,Who is the creator of Courtesan and  Two Attendants on New Year's Day?,Isoda Koryūsai
EN,In which year was Courtesan and  Two Attendants on New Year's Day completed?,1784
FR,Qui est le créateur de Courtesan and  Two Attendants on New Year's Day?,Isoda Koryusai
FR,En quelle année Courtesan and  Two Attendants on New Year's Day a-t-il été achevé?,1784
DE,Wer ist der Schöpfer von Courtesan and  Two Attendants on New Year's Day?,Isoda Koryūsai
DE,In welchem Jahr wurde Courtesan and  Two Attendants on New Year's Day fertiggestellt?,1784
TR,Courtesan and  Two Attendants on New Year's Day'in yaratıcısı kim?,Isoda Koryūsai
TR,Courtesan and  Two Attendants on New Year's Day hangi yılda tamamlandı?,1784
JA,Courtesan and  Two Attendants on New Year's Day の創作者は誰ですか？,礒田湖龍斎
JA,Courtesan and  Two Attendants on New Year's Day は何年に完成しましたか？,1784
EN,Who is the creator of Courtesan-Dancer (Shirabyōshi) for the New Year?,Isoda Koryūsai
EN,In which year was Courtesan-Dancer (Shirabyōshi) for the New Year completed?,1776
FR,Qui est le créateur de Courtesan-Dancer (Shirabyōshi) for the New Year?,Isoda Koryusai
FR,En quelle année Courtesan-Dancer (Shirabyōshi) for the New Year a-t-il été achevé?,1776
DE,Wer ist der Schöpfer von Courtesan-Dancer (Shirabyōshi) for the New Year?,Isoda Koryūsai
DE,In welchem Jahr wurde Courtesan-Dancer (Shirabyōshi) for the New Year fertiggestellt?,1776
TR,Courtesan-Dancer (Shirabyōshi) for the New Year'in yaratıcısı kim?,Isoda Koryūsai
TR,Courtesan-Dancer (Shirabyōshi) for the New Year hangi yılda tamamlandı?,1776
JA,Courtesan-Dancer (Shirabyōshi) for the New Year の創作者は誰ですか？,礒田湖龍斎
JA,Courtesan-Dancer (Shirabyōshi) for the New Year は何年に完成しましたか？,1776
EN,Who is the creator of Mother and Child at Play?,Isoda Koryūsai
EN,In which year was Mother and Child at Play completed?,1762
FR,Qui est le créateur de Mother and Child at Play?,Isoda Koryusai
FR,En quelle année Mother and Child at Play a-t-il été achevé?,1762
DE,Wer ist der Schöpfer von Mother and Child at Play?,Isoda Koryūsai
DE,In welchem Jahr wurde Mother and Child at Play fertiggestellt?,1762
TR,Mother and Child at Play'in yaratıcısı kim?,Isoda Koryūsai
TR,Mother and Child at Play hangi yılda tamamlandı?,1762
JA,Mother and Child at Play の創作者は誰ですか？,礒田湖龍斎
JA,Mother and Child at Play は何年に完成しましたか？,1762
EN,Who is the creator of Egrets and Cotton Roses?,Tosa Mitsuoki
EN,In which year was Egrets and Cotton Roses completed?,1666
FR,Qui est le créateur de Egrets and Cotton Roses?,Tosa Mitsuoki
FR,En quelle année Egrets and Cotton Roses a-t-il été achevé?,1666
DE,Wer ist der Schöpfer von Egrets and Cotton Roses?,Tosa Mitsuoki
DE,In welchem Jahr wurde Egrets and Cotton Roses fertiggestellt?,1666
TR,Egrets and Cotton Roses'in yaratıcısı kim?,Tosa Mitsuoki
TR,Egrets and Cotton Roses hangi yılda tamamlandı?,1666
JA,Egrets and Cotton Roses の創作者は誰ですか？,土佐光起
JA,Egrets and Cotton Roses は何年に完成しましたか？,1666
EN,Who is the creator of Brown-Eared Bulbul (Hiyodori) on a Branch of Plum?,Kanō Shōei
EN,In which year was Brown-Eared Bulbul (Hiyodori) on a Branch of Plum completed?,1550
FR,Qui est le créateur de Brown-Eared Bulbul (Hiyodori) on a Branch of Plum?,Kanō Shōei
FR,En quelle année Brown-Eared Bulbul (Hiyodori) on a Branch of Plum a-t-il été achevé?,1550
DE,Wer ist der Schöpfer von Brown-Eared Bulbul (Hiyodori) on a Branch of Plum?,Kanō Shōei
DE,In welchem Jahr wurde Brown-Eared Bulbul (Hiyodori) on a Branch of Plum fertiggestellt?,1550
TR,Brown-Eared Bulbul (Hiyodori) on a Branch of Plum'in yaratıcısı kim?,Kanō Shōei
TR,Brown-Eared Bulbul (Hiyodori) on a Branch of Plum hangi yılda tamamlandı?,1550
JA,Brown-Eared Bulbul (Hiyodori) on a Branch of Plum の創作者は誰ですか？,狩野松栄
JA,Brown-Eared Bulbul (Hiyodori) on a Branch of Plum は何年に完成しましたか？,1550
EN,"Who is the creator of Nunobiki Waterfall, Mount Yoshino, and Tatsuta River?",Kanō Tsunenobu
FR,"Qui est le créateur de Nunobiki Waterfall, Mount Yoshino, and Tatsuta River?",Kanō Tsunenobu
DE,"Wer ist der Schöpfer von Nunobiki Waterfall, Mount Yoshino, and Tatsuta River?",Kanō Tsunenobu
TR,"Nunobiki Waterfall, Mount Yoshino, and Tatsuta River'in yaratıcısı kim?",Kanō Tsunenobu
JA,"Nunobiki Waterfall, Mount Yoshino, and Tatsuta River の創作者は誰ですか？",狩野常信
EN,Who is the creator of Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu)?,Kōno Bairei
EN,In which year was Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) completed?,1883
FR,Qui est le créateur de Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu)?,Kōno Bairei
FR,En quelle année Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) a-t-il été achevé?,1883
DE,Wer ist der Schöpfer von Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu)?,Kōno Bairei
DE,In welchem Jahr wurde Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) fertiggestellt?,1883
TR,Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu)'in yaratıcısı kim?,Kōno Bairei
TR,Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) hangi yılda tamamlandı?,1883
JA,Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) の創作者は誰ですか？,幸野楳嶺
JA,Luring the Sun Goddess Amaterasu Out of a Cave; Death of the Historical Buddha (Nehan-zu) は何年に完成しましたか？,1883
EN,"Who is the creator of The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari}?",Matsuno Chikanobu
EN,"In which year was The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} completed?",1749
FR,"Qui est le créateur de The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari}?",Matsuno Chikanobu
FR,"En quelle année The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} a-t-il été achevé?",1749
DE,"Wer ist der Schöpfer von The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari}?",Matsuno Chikanobu
DE,"In welchem Jahr wurde The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} fertiggestellt?",1749
TR,"The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari}'in yaratıcısı kim?",Matsuno Chikanobu
TR,"The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} hangi yılda tamamlandı?",1749
JA,"The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} の創作者は誰ですか？",松野親信
JA,"The Third Princess and a Cat, from the ""New Herbs I"" (Wakana I) chapter The Tale of Genji (Genji monogatari} は何年に完成しましたか？",1749
EN,Who is the creator of Gyoran Kannon?,Miyagawa Chōshun
EN,In which year was Gyoran Kannon completed?,1741
FR,Qui est le créateur de Gyoran Kannon?,Miyagawa Chōshun
FR,En quelle année Gyoran Kannon a-t-il été achevé?,1741
DE,Wer ist der Schöpfer von Gyoran Kannon?,Miyagawa Chōshun
DE,In welchem Jahr wurde Gyoran Kannon fertiggestellt?,1741
TR,Gyoran Kannon'in yaratıcısı kim?,Miyagawa Chōshun
TR,Gyoran Kannon hangi yılda tamamlandı?,1741
JA,Gyoran Kannon の創作者は誰ですか？,宮川長春
JA,Gyoran Kannon は何年に完成しましたか？,1741
EN,Who is the creator of Carp swimming?,Watanabe Shōtei
EN,In which year was Carp swimming completed?,1887
FR,Qui est le créateur de Carp swimming?,Watanabe Shōtei
FR,En quelle année Carp swimming a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Carp swimming?,Watanabe Shōtei
DE,In welchem Jahr wurde Carp swimming fertiggestellt?,1887
TR,Carp swimming'in yaratıcısı kim?,Watanabe Shōtei
TR,Carp swimming hangi yılda tamamlandı?,1887
JA,Carp swimming の創作者は誰ですか？,渡辺省亭
JA,Carp swimming は何年に完成しましたか？,1887
EN,Who is the creator of Goldfish?,Watanabe Shōtei
EN,In which year was Goldfish completed?,1887
FR,Qui est le créateur de Goldfish?,Watanabe Shōtei
FR,En quelle année Goldfish a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Goldfish?,Watanabe Shōtei
DE,In welchem Jahr wurde Goldfish fertiggestellt?,1887
TR,Goldfish'in yaratıcısı kim?,Watanabe Shōtei
TR,Goldfish hangi yılda tamamlandı?,1887
JA,Goldfish の創作者は誰ですか？,渡辺省亭
JA,Goldfish は何年に完成しましたか？,1887
EN,Who is the creator of Fishes?,Watanabe Shōtei
EN,In which year was Fishes completed?,1887
FR,Qui est le créateur de Fishes?,Watanabe Shōtei
FR,En quelle année Fishes a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Fishes?,Watanabe Shōtei
DE,In welchem Jahr wurde Fishes fertiggestellt?,1887
TR,Fishes'in yaratıcısı kim?,Watanabe Shōtei
TR,Fishes hangi yılda tamamlandı?,1887
JA,Fishes の創作者は誰ですか？,渡辺省亭
JA,Fishes は何年に完成しましたか？,1887
EN,Who is the creator of Jumping fish?,Watanabe Shōtei
EN,In which year was Jumping fish completed?,1887
FR,Qui est le créateur de Jumping fish?,Watanabe Shōtei
FR,En quelle année Jumping fish a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Jumping fish?,Watanabe Shōtei
DE,In welchem Jahr wurde Jumping fish fertiggestellt?,1887
TR,Jumping fish'in yaratıcısı kim?,Watanabe Shōtei
TR,Jumping fish hangi yılda tamamlandı?,1887
JA,Jumping fish の創作者は誰ですか？,渡辺省亭
JA,Jumping fish は何年に完成しましたか？,1887
EN,Who is the creator of Eagle in a Tree?,Watanabe Shōtei
EN,In which year was Eagle in a Tree completed?,1887
FR,Qui est le créateur de Eagle in a Tree?,Watanabe Shōtei
FR,En quelle année Eagle in a Tree a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Eagle in a Tree?,Watanabe Shōtei
DE,In welchem Jahr wurde Eagle in a Tree fertiggestellt?,1887
TR,Eagle in a Tree'in yaratıcısı kim?,Watanabe Shōtei
TR,Eagle in a Tree hangi yılda tamamlandı?,1887
JA,Eagle in a Tree の創作者は誰ですか？,渡辺省亭
JA,Eagle in a Tree は何年に完成しましたか？,1887
EN,Who is the creator of Flying Goose?,Watanabe Shōtei
EN,In which year was Flying Goose completed?,1887
FR,Qui est le créateur de Flying Goose?,Watanabe Shōtei
FR,En quelle année Flying Goose a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Flying Goose?,Watanabe Shōtei
DE,In welchem Jahr wurde Flying Goose fertiggestellt?,1887
TR,Flying Goose'in yaratıcısı kim?,Watanabe Shōtei
TR,Flying Goose hangi yılda tamamlandı?,1887
JA,Flying Goose の創作者は誰ですか？,渡辺省亭
JA,Flying Goose は何年に完成しましたか？,1887
EN,Who is the creator of Ducks in the Rushes?,Watanabe Shōtei
EN,In which year was Ducks in the Rushes completed?,1887
FR,Qui est le créateur de Ducks in the Rushes?,Watanabe Shōtei
FR,En quelle année Ducks in the Rushes a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Ducks in the Rushes?,Watanabe Shōtei
DE,In welchem Jahr wurde Ducks in the Rushes fertiggestellt?,1887
TR,Ducks in the Rushes'in yaratıcısı kim?,Watanabe Shōtei
TR,Ducks in the Rushes hangi yılda tamamlandı?,1887
JA,Ducks in the Rushes の創作者は誰ですか？,渡辺省亭
JA,Ducks in the Rushes は何年に完成しましたか？,1887
EN,Who is the creator of Birds on a Branch?,Watanabe Shōtei
EN,In which year was Birds on a Branch completed?,1887
FR,Qui est le créateur de Birds on a Branch?,Watanabe Shōtei
FR,En quelle année Birds on a Branch a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Birds on a Branch?,Watanabe Shōtei
DE,In welchem Jahr wurde Birds on a Branch fertiggestellt?,1887
TR,Birds on a Branch'in yaratıcısı kim?,Watanabe Shōtei
TR,Birds on a Branch hangi yılda tamamlandı?,1887
JA,Birds on a Branch の創作者は誰ですか？,渡辺省亭
JA,Birds on a Branch は何年に完成しましたか？,1887
EN,Who is the creator of Rooster and Hen with Chicks?,Watanabe Shōtei
EN,In which year was Rooster and Hen with Chicks completed?,1887
FR,Qui est le créateur de Rooster and Hen with Chicks?,Watanabe Shōtei
FR,En quelle année Rooster and Hen with Chicks a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Rooster and Hen with Chicks?,Watanabe Shōtei
DE,In welchem Jahr wurde Rooster and Hen with Chicks fertiggestellt?,1887
TR,Rooster and Hen with Chicks'in yaratıcısı kim?,Watanabe Shōtei
TR,Rooster and Hen with Chicks hangi yılda tamamlandı?,1887
JA,Rooster and Hen with Chicks の創作者は誰ですか？,渡辺省亭
JA,Rooster and Hen with Chicks は何年に完成しましたか？,1887
EN,"Who is the creator of Roses, Young Bird and a Butterfly?",Watanabe Shōtei
EN,"In which year was Roses, Young Bird and a Butterfly completed?",1887
FR,"Qui est le créateur de Roses, Young Bird and a Butterfly?",Watanabe Shōtei
FR,"En quelle année Roses, Young Bird and a Butterfly a-t-il été achevé?",1887
DE,"Wer ist der Schöpfer von Roses, Young Bird and a Butterfly?",Watanabe Shōtei
DE,"In welchem Jahr wurde Roses, Young Bird and a Butterfly fertiggestellt?",1887
TR,"Roses, Young Bird and a Butterfly'in yaratıcısı kim?",Watanabe Shōtei
TR,"Roses, Young Bird and a Butterfly hangi yılda tamamlandı?",1887
JA,"Roses, Young Bird and a Butterfly の創作者は誰ですか？",渡辺省亭
JA,"Roses, Young Bird and a Butterfly は何年に完成しましたか？",1887
EN,Who is the creator of Egrets at the Water's Edge?,Watanabe Shōtei
EN,In which year was Egrets at the Water's Edge completed?,1887
FR,Qui est le créateur de Egrets at the Water's Edge?,Watanabe Shōtei
FR,En quelle année Egrets at the Water's Edge a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Egrets at the Water's Edge?,Watanabe Shōtei
DE,In welchem Jahr wurde Egrets at the Water's Edge fertiggestellt?,1887
TR,Egrets at the Water's Edge'in yaratıcısı kim?,Watanabe Shōtei
TR,Egrets at the Water's Edge hangi yılda tamamlandı?,1887
JA,Egrets at the Water's Edge の創作者は誰ですか？,渡辺省亭
JA,Egrets at the Water's Edge は何年に完成しましたか？,1887
EN,Who is the creator of Three Birds on Branch?,Watanabe Shōtei
EN,In which year was Three Birds on Branch completed?,1887
FR,Qui est le créateur de Three Birds on Branch?,Watanabe Shōtei
FR,En quelle année Three Birds on Branch a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Three Birds on Branch?,Watanabe Shōtei
DE,In welchem Jahr wurde Three Birds on Branch fertiggestellt?,1887
TR,Three Birds on Branch'in yaratıcısı kim?,Watanabe Shōtei
TR,Three Birds on Branch hangi yılda tamamlandı?,1887
JA,Three Birds on Branch の創作者は誰ですか？,渡辺省亭
JA,Three Birds on Branch は何年に完成しましたか？,1887
EN,Who is the creator of Pigeons in a Tree?,Watanabe Shōtei
EN,In which year was Pigeons in a Tree completed?,1887
FR,Qui est le créateur de Pigeons in a Tree?,Watanabe Shōtei
FR,En quelle année Pigeons in a Tree a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Pigeons in a Tree?,Watanabe Shōtei
DE,In welchem Jahr wurde Pigeons in a Tree fertiggestellt?,1887
TR,Pigeons in a Tree'in yaratıcısı kim?,Watanabe Shōtei
TR,Pigeons in a Tree hangi yılda tamamlandı?,1887
JA,Pigeons in a Tree の創作者は誰ですか？,渡辺省亭
JA,Pigeons in a Tree は何年に完成しましたか？,1887
EN,Who is the creator of Bird Catching Fish Among Reeds?,Watanabe Shōtei
EN,In which year was Bird Catching Fish Among Reeds completed?,1887
FR,Qui est le créateur de Bird Catching Fish Among Reeds?,Watanabe Shōtei
FR,En quelle année Bird Catching Fish Among Reeds a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Bird Catching Fish Among Reeds?,Watanabe Shōtei
DE,In welchem Jahr wurde Bird Catching Fish Among Reeds fertiggestellt?,1887
TR,Bird Catching Fish Among Reeds'in yaratıcısı kim?,Watanabe Shōtei
TR,Bird Catching Fish Among Reeds hangi yılda tamamlandı?,1887
JA,Bird Catching Fish Among Reeds の創作者は誰ですか？,渡辺省亭
JA,Bird Catching Fish Among Reeds は何年に完成しましたか？,1887
EN,Who is the creator of Duck?,Watanabe Shōtei
EN,In which year was Duck completed?,1887
FR,Qui est le créateur de Duck?,Watanabe Shōtei
FR,En quelle année Duck a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Duck?,Watanabe Shōtei
DE,In welchem Jahr wurde Duck fertiggestellt?,1887
TR,Duck'in yaratıcısı kim?,Watanabe Shōtei
TR,Duck hangi yılda tamamlandı?,1887
JA,Duck の創作者は誰ですか？,渡辺省亭
JA,Duck は何年に完成しましたか？,1887
EN,Who is the creator of Bird on Branch Watching Spider?,Watanabe Shōtei
EN,In which year was Bird on Branch Watching Spider completed?,1887
FR,Qui est le créateur de Bird on Branch Watching Spider?,Watanabe Shōtei
FR,En quelle année Bird on Branch Watching Spider a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Bird on Branch Watching Spider?,Watanabe Shōtei
DE,In welchem Jahr wurde Bird on Branch Watching Spider fertiggestellt?,1887
TR,Bird on Branch Watching Spider'in yaratıcısı kim?,Watanabe Shōtei
TR,Bird on Branch Watching Spider hangi yılda tamamlandı?,1887
JA,Bird on Branch Watching Spider の創作者は誰ですか？,渡辺省亭
JA,Bird on Branch Watching Spider は何年に完成しましたか？,1887
EN,Who is the creator of Egrets in a Tree at Night?,Watanabe Shōtei
EN,In which year was Egrets in a Tree at Night completed?,1887
FR,Qui est le créateur de Egrets in a Tree at Night?,Watanabe Shōtei
FR,En quelle année Egrets in a Tree at Night a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Egrets in a Tree at Night?,Watanabe Shōtei
DE,In welchem Jahr wurde Egrets in a Tree at Night fertiggestellt?,1887
TR,Egrets in a Tree at Night'in yaratıcısı kim?,Watanabe Shōtei
TR,Egrets in a Tree at Night hangi yılda tamamlandı?,1887
JA,Egrets in a Tree at Night の創作者は誰ですか？,渡辺省亭
JA,Egrets in a Tree at Night は何年に完成しましたか？,1887
EN,Who is the creator of Sparrows Flying?,Watanabe Shōtei
EN,In which year was Sparrows Flying completed?,1887
FR,Qui est le créateur de Sparrows Flying?,Watanabe Shōtei
FR,En quelle année Sparrows Flying a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Sparrows Flying?,Watanabe Shōtei
DE,In welchem Jahr wurde Sparrows Flying fertiggestellt?,1887
TR,Sparrows Flying'in yaratıcısı kim?,Watanabe Shōtei
TR,Sparrows Flying hangi yılda tamamlandı?,1887
JA,Sparrows Flying の創作者は誰ですか？,渡辺省亭
JA,Sparrows Flying は何年に完成しましたか？,1887
EN,Who is the creator of Birds on a Flowering Branch?,Watanabe Shōtei
EN,In which year was Birds on a Flowering Branch completed?,1887
FR,Qui est le créateur de Birds on a Flowering Branch?,Watanabe Shōtei
FR,En quelle année Birds on a Flowering Branch a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Birds on a Flowering Branch?,Watanabe Shōtei
DE,In welchem Jahr wurde Birds on a Flowering Branch fertiggestellt?,1887
TR,Birds on a Flowering Branch'in yaratıcısı kim?,Watanabe Shōtei
TR,Birds on a Flowering Branch hangi yılda tamamlandı?,1887
JA,Birds on a Flowering Branch の創作者は誰ですか？,渡辺省亭
JA,Birds on a Flowering Branch は何年に完成しましたか？,1887
EN,Who is the creator of Crayfish?,Watanabe Shōtei
EN,In which year was Crayfish completed?,1887
FR,Qui est le créateur de Crayfish?,Watanabe Shōtei
FR,En quelle année Crayfish a-t-il été achevé?,1887
DE,Wer ist der Schöpfer von Crayfish?,Watanabe Shōtei
DE,In welchem Jahr wurde Crayfish fertiggestellt?,1887
TR,Crayfish'in yaratıcısı kim?,Watanabe Shōtei
TR,Crayfish hangi yılda tamamlandı?,1887
JA,Crayfish の創作者は誰ですか？,渡辺省亭
JA,Crayfish は何年に完成しましたか？,1887
EN,"Who is the creator of Peaches, Pomegranate, and Fingered Citron?",Yamamoto Baiitsu
EN,"In which year was Peaches, Pomegranate, and Fingered Citron completed?",1832
FR,"Qui est le créateur de Peaches, Pomegranate, and Fingered Citron?",Yamamoto Baiitsu
FR,"En quelle année Peaches, Pomegranate, and Fingered Citron a-t-il été achevé?",1832
DE,"Wer ist der Schöpfer von Peaches, Pomegranate, and Fingered Citron?",Yamamoto Baiitsu
DE,"In welchem Jahr wurde Peaches, Pomegranate, and Fingered Citron fertiggestellt?",1832
TR,"Peaches, Pomegranate, and Fingered Citron'in yaratıcısı kim?",Yamamoto Baiitsu
TR,"Peaches, Pomegranate, and Fingered Citron hangi yılda tamamlandı?",1832
JA,"Peaches, Pomegranate, and Fingered Citron の創作者は誰ですか？",山本梅逸
JA,"Peaches, Pomegranate, and Fingered Citron は何年に完成しましたか？",1832
EN,Who is the creator of Autumn Flowers?,Yamamoto Baiitsu
EN,In which year was Autumn Flowers completed?,1843
FR,Qui est le créateur de Autumn Flowers?,Yamamoto Baiitsu
FR,En quelle année Autumn Flowers a-t-il été achevé?,1843
DE,Wer ist der Schöpfer von Autumn Flowers?,Yamamoto Baiitsu
DE,In welchem Jahr wurde Autumn Flowers fertiggestellt?,1843
TR,Autumn Flowers'in yaratıcısı kim?,Yamamoto Baiitsu
TR,Autumn Flowers hangi yılda tamamlandı?,1843
JA,Autumn Flowers の創作者は誰ですか？,山本梅逸
JA,Autumn Flowers は何年に完成しましたか？,1843
EN,"Who is the creator of ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings?",Yamamoto Baiitsu
EN,"In which year was ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings completed?",1844
FR,"Qui est le créateur de ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings?",Yamamoto Baiitsu
FR,"En quelle année ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings a-t-il été achevé?",1844
DE,"Wer ist der Schöpfer von ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings?",Yamamoto Baiitsu
DE,"In welchem Jahr wurde ""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings fertiggestellt?",1844
TR,"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings'in yaratıcısı kim?",Yamamoto Baiitsu
TR,"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings hangi yılda tamamlandı?",1844
JA,"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings の創作者は誰ですか？",山本梅逸
JA,"""Refined Elegance in the Four Seasons"" (Shiji seiga), Album of Flower Paintings は何年に完成しましたか？",1844
EN,Who is the creator of Egrets in a Lotus Pond?,Yamamoto Baiitsu
EN,In which year was Egrets in a Lotus Pond completed?,1852
FR,Qui est le créateur de Egrets in a Lotus Pond?,Yamamoto Baiitsu
FR,En quelle année Egrets in a Lotus Pond a-t-il été achevé?,1852
DE,Wer ist der Schöpfer von Egrets in a Lotus Pond?,Yamamoto Baiitsu
DE,In welchem Jahr wurde Egrets in a Lotus Pond fertiggestellt?,1852
TR,Egrets in a Lotus Pond'in yaratıcısı kim?,Yamamoto Baiitsu
TR,Egrets in a Lotus Pond hangi yılda tamamlandı?,1852
